timestamp,generation_solar,generation_wind_onshore,generation_hydro_pumped_storage,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_brown_coal_lignite,generation_biomass,generation_waste,generation_other,generation_fossil_peat,generation_marine
2018-01-01 00:00:00,,21.0,,156.0,,,0.0,,,,77.0,,89.0,,
2018-01-01 01:00:00,,21.0,,156.0,,,0.0,,,,77.0,,89.0,,
2018-01-01 02:00:00,,19.0,,155.0,,,0.0,,,,77.0,,89.0,,
2018-01-01 03:00:00,,17.0,,186.0,,,0.0,,,,76.0,,88.0,,
2018-01-01 04:00:00,,11.0,,421.0,,,0.0,,,,76.0,,88.0,,
2018-01-01 05:00:00,,10.0,,512.0,,,1.0,,,,76.0,,88.0,,
2018-01-01 06:00:00,,13.0,,600.0,,,1.0,,,,76.0,,88.0,,
2018-01-01 07:00:00,,10.0,,667.0,,,1.0,,,,76.0,,88.0,,
2018-01-01 08:00:00,,9.0,,741.0,,,1.0,,,,76.0,,88.0,,
2018-01-01 09:00:00,,13.0,,747.0,,,1.0,,,,76.0,,88.0,,
2018-01-01 10:00:00,,31.0,,797.0,,,1.0,,,,76.0,,88.0,,
2018-01-01 11:00:00,,39.0,,814.0,,,1.0,,,,77.0,,88.0,,
2018-01-01 12:00:00,,49.0,,939.0,,,1.0,,,,77.0,,89.0,,
2018-01-01 13:00:00,,49.0,,1011.0,,,1.0,,,,77.0,,89.0,,
2018-01-01 14:00:00,,46.0,,1012.0,,,1.0,,,,77.0,,89.0,,
2018-01-01 15:00:00,,47.0,,1013.0,,,1.0,,,,77.0,,89.0,,
2018-01-01 16:00:00,,50.0,,1012.0,,,1.0,,,,77.0,,90.0,,
2018-01-01 17:00:00,,49.0,,1012.0,,,1.0,,,,77.0,,90.0,,
2018-01-01 18:00:00,,51.0,,1012.0,,,1.0,,,,78.0,,90.0,,
2018-01-01 19:00:00,,51.0,,1049.0,,,1.0,,,,78.0,,90.0,,
2018-01-01 20:00:00,,51.0,,759.0,,,1.0,,,,78.0,,90.0,,
2018-01-01 21:00:00,,51.0,,578.0,,,1.0,,,,78.0,,91.0,,
