,Unnamed: 0,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
0,2015-01-01 00:00:00+02:00,77.0,0.0,86.0,181.0,0.0,0.0,1698.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,1.0,20.0,0.0,307.0
1,2016-01-01 00:00:00+02:00,77.0,0.0,86.0,119.0,0.0,0.0,1975.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,1.0,20.0,0.0,375.0
2,2017-01-01 00:00:00+02:00,86.0,0.0,85.0,129.0,0.0,0.0,1976.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,1.0,20.0,0.0,384.0
3,2018-01-01 00:00:00+02:00,102.0,0.0,85.0,119.0,0.0,0.0,1976.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,1.0,19.0,0.0,487.0
4,2019-01-01 00:00:00+02:00,157.0,0.0,51.0,125.0,0.0,8.0,1970.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,33.0,19.0,0.0,462.0
5,2020-01-01 00:00:00+02:00,157.0,0.0,79.0,133.0,0.0,8.0,1970.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,123.0,19.0,0.0,329.0
6,2021-01-01 00:00:00+02:00,175.0,0.0,74.0,98.0,0.0,0.0,1462.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,164.0,17.0,0.0,329.0
7,2022-01-01 00:00:00+02:00,130.0,,25.0,94.0,,52.0,1371.0,,,,4.0,,,,13.0,,370.0,17.0,,326.0
8,2023-01-01 00:00:00+02:00,152.0,,78.0,110.0,,,1330.0,,,,8.0,,,,20.0,,510.0,17.0,,317.0
9,2024-01-01 00:00:00+02:00,150.0,0.0,78.0,15.0,0.0,0.0,1330.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0,812.0,17.0,0.0,447.0
