,Unnamed: 0,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other renewable,Solar,Waste,Wind Onshore,Geothermal,Fossil Hard coal,Other
0,2015-01-01 00:00:00+01:00,134.0,1099.0,4224.0,410.0,29.0,28.0,1887.0,71.0,6.0,25.0,329.0,,,
1,2016-01-01 00:00:00+01:00,246.0,1007.0,4124.0,410.0,29.0,28.0,1887.0,60.0,29.0,28.0,328.0,,,
2,2017-01-01 00:00:00+01:00,246.0,1049.0,4114.0,410.0,28.0,28.0,1887.0,64.0,70.0,28.0,324.0,,,
3,2018-01-01 00:00:00+01:00,251.0,1049.0,4107.0,412.0,28.0,28.0,1899.0,68.0,336.0,36.0,325.0,,,
4,2019-01-01 00:00:00+01:00,246.0,1049.0,4028.0,421.0,30.0,28.0,1899.0,74.0,936.0,59.0,327.0,3.0,,
5,2020-01-01 00:00:00+01:00,241.0,1007.0,4030.0,420.0,30.0,28.0,1899.0,74.0,1407.0,59.0,323.0,3.0,42.0,
6,2021-01-01 00:00:00+01:00,213.0,1007.0,4011.0,420.0,30.0,28.0,1910.0,69.0,1829.0,49.0,323.0,3.0,42.0,
7,2022-01-01 00:00:00+01:00,213.0,1007.0,3974.0,425.0,33.0,28.0,1916.0,70.0,2524.0,49.0,323.0,3.0,42.0,
8,2023-01-01 00:00:00+01:00,213.0,787.0,3151.0,425.0,33.0,28.0,1916.0,70.0,3300.0,49.0,323.0,3.0,42.0,22.0
9,2024-01-01 00:00:00+01:00,214.0,787.0,3161.0,425.0,33.0,28.0,1916.0,71.0,3888.0,49.0,325.0,3.0,42.0,35.0
