,Unnamed: 0,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Fossil Coal-derived gas
0,2015-01-01 00:00:00+01:00,6808.0,21160.0,31734.0,26190.0,4532.0,34.0,8699.0,3989.0,1518.0,12068.0,1220.0,449.0,37271.0,1685.0,993.0,37701.0,
1,2016-01-01 00:00:00+01:00,6815.0,21062.0,32398.0,26264.0,4605.0,34.0,8699.0,3996.0,1518.0,10793.0,1286.0,511.0,38686.0,1685.0,3283.0,41168.0,0.0
2,2017-01-01 00:00:00+01:00,7080.0,21262.0,32627.0,27437.0,4614.0,40.0,8894.0,4007.0,1439.0,10793.0,1421.0,510.0,40834.0,1685.0,4131.0,47042.0,0.0
3,2018-01-01 00:00:00+01:00,7396.0,21275.0,31361.0,25035.0,4271.0,38.0,8918.0,3860.0,1440.0,9516.0,1418.0,496.0,42804.0,1686.0,5051.0,51633.0,0.0
4,2019-01-01 00:00:00+01:00,7752.0,21205.0,31664.0,25293.0,4356.0,42.0,9422.0,3983.0,1298.0,9516.0,1235.0,445.0,45299.0,1686.0,6393.0,52792.0,0.0
5,2020-01-01 00:00:00+01:00,7987.0,21067.0,31712.0,22458.0,4373.0,47.0,9422.0,3970.0,1298.0,8114.0,1558.0,407.0,48206.0,1661.0,7504.0,53184.0,0.0
6,2021-01-01 00:00:00+01:00,8400.0,20487.0,31942.0,23499.0,4184.0,44.0,9422.0,3814.0,1298.0,8114.0,1639.0,420.0,53302.0,1640.0,7774.0,54499.0,0.0
7,2022-01-01 00:00:00+01:00,8332.0,18544.0,30553.0,18830.0,3966.0,51.0,9379.0,3660.0,1298.0,4056.0,1679.0,352.0,57744.0,1599.0,7787.0,55289.0,0.0
8,2023-01-01 00:00:00+01:00,8467.0,17692.0,31808.0,18559.0,4083.0,56.0,9379.0,3715.0,1334.0,4056.0,1706.0,384.0,63066.0,1912.0,8129.0,57590.0,1257.0
9,2024-01-01 00:00:00+01:00,8577.0,18363.0,36255.0,18411.0,4118.0,54.0,9449.0,3731.0,1381.0,,1630.0,356.0,76601.0,1808.0,8456.0,59841.0,1257.0
