,Unnamed: 0,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore,Solar
0,2015-01-01 00:00:00+02:00,82.0,1136.0,1537.0,0.0,51.0,
1,2016-01-01 00:00:00+02:00,102.0,1103.0,1537.0,,55.0,
2,2017-01-01 00:00:00+02:00,105.0,1124.0,1539.0,,53.0,
3,2018-01-01 00:00:00+02:00,105.0,1124.0,1539.0,,53.0,
4,2019-01-01 00:00:00+02:00,126.0,1110.0,1539.0,,59.0,7.0
5,2020-01-01 00:00:00+02:00,145.0,1026.0,1578.0,,74.0,9.0
6,2021-01-01 00:00:00+02:00,149.0,1021.0,1578.0,,84.0,11.0
7,2022-01-01 00:00:00+02:00,164.0,1162.0,1588.0,,87.0,14.0
8,2023-01-01 00:00:00+02:00,177.0,1157.0,1609.0,,165.0,63.0
9,2024-01-01 00:00:00+02:00,166.0,1112.0,1588.0,,136.0,303.0
