,Unnamed: 0,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore,Other
0,2015-01-01 00:00:00+01:00,375.0,8427.0,158.0,826.0,19366.0,345.0,1770.0,378.0,156.0,14.0,3758.0,
1,2016-01-01 00:00:00+01:00,435.0,8483.0,158.0,1302.0,18479.0,345.0,1770.0,395.0,156.0,77.0,5494.0,
2,2017-01-01 00:00:00+01:00,501.0,8214.0,158.0,1438.0,18094.0,345.0,1770.0,396.0,156.0,187.0,6026.0,
3,2018-01-01 00:00:00+01:00,603.0,8559.0,158.0,2140.0,20076.0,415.0,1780.0,455.0,157.0,231.0,5791.0,
4,2019-01-01 00:00:00+01:00,849.0,8013.0,272.0,2106.0,22261.0,415.0,1780.0,435.0,157.0,430.0,5808.0,
5,2020-01-01 00:00:00+01:00,880.0,7677.0,272.0,2540.0,22286.0,359.0,1780.0,448.0,157.0,1310.0,5953.0,
6,2021-01-01 00:00:00+01:00,880.0,7597.0,272.0,2555.0,20925.0,359.0,1794.0,447.0,157.0,3473.0,6570.0,
7,2022-01-01 00:00:00+01:00,647.0,7560.0,284.0,3807.0,19073.0,393.0,1591.0,321.0,464.0,6664.0,7950.0,1524.0
8,2023-01-01 00:00:00+01:00,664.0,7560.0,281.0,3786.0,19008.0,393.0,1591.0,323.0,469.0,10643.0,8978.0,1520.0
9,2024-01-01 00:00:00+01:00,662.0,7557.0,274.0,5162.0,18831.0,393.0,1589.0,321.0,468.0,14609.0,9583.0,1643.0
