,Unnamed: 0,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear
0,2015-01-01 00:00:00+01:00,3940.0,190.0,4792.0,3375.0
1,2016-01-01 00:00:00+01:00,4178.0,190.0,4802.0,3375.0
2,2017-01-01 00:00:00+01:00,6228.0,190.0,4898.0,3373.0
3,2018-01-01 00:00:00+01:00,6594.0,529.0,5405.0,3373.0
4,2019-01-01 00:00:00+01:00,6641.0,635.0,5419.0,3373.0
5,2020-01-01 00:00:00+01:00,6672.0,635.0,5415.0,2970.0
6,2021-01-01 00:00:00+01:00,6681.0,605.0,5588.0,2970.0
7,2022-01-01 00:00:00+01:00,6681.0,605.0,5588.0,2970.0
8,2023-01-01 00:00:00+01:00,6697.0,605.0,5588.0,2970.0
9,2024-01-01 00:00:00+01:00,6697.0,635.0,5772.0,2970.0
