timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_run_of_river_and_poundage,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_biomass,generation_waste,generation_other
2022-12-31 23:00:00,0.0,3449.0,0.0,637.0,4373.0,126.0,467.0,1.0,762.0,7.0,66.0
2023-01-01 00:00:00,0.0,3559.0,0.0,516.0,4372.0,140.0,467.0,1.0,762.0,7.0,66.0
2023-01-01 01:00:00,0.0,3634.0,0.0,540.0,4373.0,141.0,465.0,1.0,775.0,7.0,66.0
2023-01-01 02:00:00,0.0,3628.0,0.0,524.0,4373.0,129.0,463.0,1.0,790.0,7.0,67.0
2023-01-01 03:00:00,0.0,3500.0,0.0,560.0,4373.0,140.0,466.0,1.0,790.0,7.0,69.0
2023-01-01 04:00:00,0.0,3353.0,0.0,542.0,4371.0,127.0,464.0,1.0,803.0,7.0,69.0
2023-01-01 05:00:00,0.0,3391.0,0.0,616.0,4372.0,129.0,463.0,1.0,821.0,7.0,69.0
2023-01-01 06:00:00,0.0,3233.0,0.0,677.0,4372.0,129.0,464.0,1.0,814.0,7.0,71.0
2023-01-01 07:00:00,3.0,3214.0,0.0,674.0,4372.0,123.0,465.0,1.0,828.0,7.0,77.0
2023-01-01 08:00:00,15.0,3213.0,0.0,685.0,4371.0,133.0,464.0,1.0,818.0,7.0,76.0
2023-01-01 09:00:00,29.0,3249.0,0.0,699.0,4372.0,134.0,461.0,1.0,822.0,7.0,74.0
2023-01-01 10:00:00,32.0,3416.0,0.0,752.0,4372.0,160.0,461.0,1.0,822.0,7.0,76.0
2023-01-01 11:00:00,18.0,3416.0,0.0,775.0,4368.0,140.0,461.0,1.0,817.0,7.0,66.0
2023-01-01 12:00:00,3.0,3255.0,0.0,804.0,4360.0,130.0,461.0,1.0,814.0,7.0,69.0
2023-01-01 13:00:00,0.0,3490.0,0.0,874.0,4300.0,128.0,459.0,1.0,814.0,7.0,76.0
2023-01-01 14:00:00,0.0,3600.0,0.0,947.0,4298.0,130.0,460.0,1.0,828.0,8.0,80.0
2023-01-01 15:00:00,0.0,3503.0,0.0,1073.0,4361.0,140.0,507.0,1.0,824.0,17.0,82.0
2023-01-01 16:00:00,0.0,3541.0,0.0,1186.0,4362.0,139.0,534.0,1.0,830.0,24.0,86.0
2023-01-01 17:00:00,0.0,3620.0,0.0,1148.0,4361.0,128.0,554.0,1.0,831.0,25.0,91.0
2023-01-01 18:00:00,0.0,3676.0,0.0,1034.0,4360.0,132.0,571.0,1.0,832.0,25.0,94.0
2023-01-01 19:00:00,0.0,3604.0,0.0,920.0,4360.0,139.0,577.0,1.0,835.0,25.0,97.0
2023-01-01 20:00:00,0.0,3335.0,0.0,899.0,4365.0,136.0,567.0,1.0,823.0,25.0,98.0
2023-01-01 21:00:00,0.0,3298.0,0.0,739.0,4370.0,135.0,589.0,1.0,835.0,25.0,100.0
2023-01-01 22:00:00,0.0,3263.0,0.0,668.0,4370.0,139.0,596.0,1.0,833.0,23.0,100.0
2023-01-01 23:00:00,0.0,3264.0,0.0,627.0,4371.0,145.0,595.0,1.0,834.0,24.0,101.0
2023-01-02 00:00:00,0.0,3166.0,0.0,687.0,4371.0,136.0,594.0,1.0,831.0,25.0,104.0
2023-01-02 01:00:00,0.0,3143.0,0.0,679.0,4371.0,142.0,594.0,1.0,832.0,25.0,108.0
2023-01-02 02:00:00,0.0,2892.0,0.0,715.0,4372.0,154.0,595.0,1.0,849.0,23.0,109.0
2023-01-02 03:00:00,0.0,2578.0,0.0,858.0,4372.0,136.0,603.0,1.0,866.0,25.0,110.0
2023-01-02 04:00:00,0.0,2468.0,0.0,833.0,4371.0,142.0,667.0,1.0,900.0,24.0,114.0
2023-01-02 05:00:00,0.0,2392.0,0.0,1092.0,4371.0,153.0,710.0,1.0,933.0,23.0,118.0
2023-01-02 06:00:00,0.0,2178.0,0.0,1346.0,4372.0,166.0,727.0,1.0,948.0,25.0,122.0
2023-01-02 07:00:00,1.0,2047.0,0.0,1507.0,4374.0,163.0,728.0,1.0,947.0,23.0,124.0
2023-01-02 08:00:00,6.0,2039.0,0.0,1639.0,3981.0,155.0,732.0,1.0,959.0,23.0,123.0
2023-01-02 09:00:00,13.0,2017.0,0.0,1807.0,2797.0,198.0,742.0,1.0,967.0,24.0,115.0
2023-01-02 10:00:00,14.0,1814.0,0.0,1896.0,2804.0,150.0,749.0,1.0,982.0,25.0,114.0
2023-01-02 11:00:00,6.0,1915.0,0.0,1753.0,2985.0,149.0,752.0,1.0,981.0,23.0,117.0
2023-01-02 12:00:00,0.0,1871.0,0.0,1706.0,2987.0,166.0,752.0,1.0,974.0,24.0,119.0
2023-01-02 13:00:00,0.0,1873.0,0.0,1874.0,3009.0,151.0,759.0,1.0,977.0,24.0,126.0
2023-01-02 14:00:00,0.0,1718.0,0.0,2078.0,3037.0,138.0,759.0,1.0,985.0,23.0,129.0
2023-01-02 15:00:00,0.0,1649.0,0.0,2047.0,3048.0,142.0,759.0,1.0,980.0,24.0,136.0
2023-01-02 16:00:00,0.0,1530.0,0.0,2042.0,3442.0,137.0,760.0,0.0,956.0,24.0,139.0
2023-01-02 17:00:00,0.0,1448.0,0.0,2034.0,3556.0,140.0,768.0,1.0,947.0,24.0,131.0
2023-01-02 18:00:00,0.0,1313.0,0.0,1853.0,3556.0,151.0,774.0,1.0,936.0,24.0,131.0
2023-01-02 19:00:00,0.0,1115.0,0.0,1620.0,3888.0,153.0,778.0,0.0,931.0,24.0,132.0
2023-01-02 20:00:00,0.0,981.0,0.0,1379.0,4312.0,169.0,750.0,1.0,933.0,23.0,129.0
2023-01-02 21:00:00,0.0,861.0,0.0,1174.0,4364.0,196.0,741.0,0.0,926.0,24.0,126.0
2023-01-02 22:00:00,0.0,729.0,0.0,1027.0,4371.0,146.0,740.0,0.0,918.0,24.0,126.0
2023-01-02 23:00:00,0.0,667.0,0.0,941.0,4370.0,167.0,740.0,0.0,906.0,24.0,126.0
2023-01-03 00:00:00,0.0,576.0,0.0,821.0,4370.0,220.0,742.0,1.0,873.0,24.0,126.0
2023-01-03 01:00:00,0.0,459.0,0.0,757.0,4371.0,217.0,742.0,1.0,855.0,23.0,122.0
