timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_pumped_storage,generation_hydro_run_of_river_and_poundage,generation_fossil_gas,generation_biomass,generation_waste,generation_other
2022-12-31 23:00:00,0.0,526.0,0.0,1.0,25.0,26.0,34.0,56.0,12.0
2023-01-01 00:00:00,0.0,505.0,0.0,0.0,25.0,26.0,34.0,56.0,12.0
2023-01-01 01:00:00,0.0,461.0,0.0,0.0,25.0,25.0,34.0,56.0,12.0
2023-01-01 02:00:00,0.0,444.0,0.0,0.0,25.0,25.0,34.0,56.0,12.0
2023-01-01 03:00:00,0.0,427.0,0.0,0.0,25.0,26.0,34.0,56.0,12.0
2023-01-01 04:00:00,0.0,376.0,0.0,0.0,25.0,26.0,33.0,56.0,11.0
2023-01-01 05:00:00,0.0,431.0,0.0,68.0,25.0,26.0,34.0,56.0,10.0
2023-01-01 06:00:00,0.0,507.0,0.0,119.0,47.0,26.0,34.0,56.0,10.0
2023-01-01 07:00:00,6.0,551.0,0.0,120.0,31.0,26.0,34.0,56.0,11.0
2023-01-01 08:00:00,6.0,571.0,0.0,0.0,26.0,26.0,34.0,56.0,12.0
2023-01-01 09:00:00,6.0,572.0,0.0,0.0,26.0,26.0,34.0,56.0,12.0
2023-01-01 10:00:00,6.0,571.0,0.0,0.0,26.0,26.0,34.0,56.0,11.0
2023-01-01 11:00:00,6.0,571.0,0.0,0.0,47.0,26.0,34.0,56.0,11.0
2023-01-01 12:00:00,6.0,569.0,0.0,0.0,47.0,25.0,34.0,56.0,11.0
2023-01-01 13:00:00,6.0,516.0,0.0,0.0,88.0,25.0,34.0,56.0,11.0
2023-01-01 14:00:00,6.0,547.0,0.0,0.0,66.0,25.0,34.0,56.0,10.0
2023-01-01 15:00:00,6.0,571.0,0.0,0.0,64.0,26.0,34.0,56.0,10.0
2023-01-01 16:00:00,6.0,569.0,0.0,0.0,90.0,26.0,34.0,56.0,10.0
2023-01-01 17:00:00,6.0,570.0,0.0,0.0,80.0,26.0,34.0,56.0,10.0
2023-01-01 18:00:00,6.0,565.0,0.0,0.0,88.0,26.0,34.0,55.0,10.0
