timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_fossil_gas,generation_biomass,generation_waste,generation_other
2022-12-31 23:00:00,,74.0,0.0,1006.0,583.0,0.0,0.0,8.0,0.0
2023-01-01 00:00:00,,71.0,0.0,978.0,500.0,0.0,0.0,8.0,0.0
2023-01-01 01:00:00,,80.0,0.0,976.0,417.0,0.0,0.0,7.0,0.0
2023-01-01 02:00:00,,112.0,0.0,967.0,374.0,0.0,0.0,8.0,0.0
2023-01-01 03:00:00,,146.0,0.0,979.0,314.0,0.0,0.0,7.0,0.0
2023-01-01 04:00:00,,185.0,0.0,963.0,355.0,0.0,0.0,8.0,0.0
2023-01-01 05:00:00,,218.0,0.0,961.0,355.0,0.0,0.0,8.0,0.0
2023-01-01 06:00:00,,198.0,0.0,962.0,351.0,0.0,0.0,8.0,0.0
2023-01-01 07:00:00,,163.0,0.0,971.0,310.0,0.0,0.0,9.0,0.0
2023-01-01 08:00:00,,138.0,0.0,952.0,432.0,0.0,0.0,9.0,0.0
2023-01-01 09:00:00,,152.0,0.0,936.0,497.0,0.0,0.0,9.0,0.0
2023-01-01 10:00:00,,141.0,0.0,952.0,557.0,0.0,0.0,10.0,0.0
2023-01-01 11:00:00,,132.0,0.0,990.0,588.0,0.0,0.0,10.0,0.0
2023-01-01 12:00:00,,115.0,0.0,978.0,608.0,0.0,0.0,9.0,0.0
2023-01-01 13:00:00,,75.0,0.0,953.0,612.0,0.0,0.0,9.0,0.0
2023-01-01 14:00:00,,69.0,0.0,974.0,591.0,0.0,0.0,9.0,0.0
2023-01-01 15:00:00,,58.0,0.0,993.0,632.0,0.0,0.0,10.0,0.0
2023-01-01 16:00:00,,66.0,0.0,997.0,647.0,0.0,0.0,10.0,0.0
2023-01-01 17:00:00,,52.0,0.0,975.0,629.0,0.0,0.0,10.0,0.0
2023-01-01 18:00:00,,54.0,0.0,967.0,735.0,0.0,0.0,10.0,0.0
2023-01-01 19:00:00,,42.0,0.0,976.0,751.0,0.0,0.0,9.0,0.0
2023-01-01 20:00:00,,34.0,0.0,992.0,652.0,0.0,0.0,9.0,0.0
2023-01-01 21:00:00,,35.0,0.0,979.0,610.0,0.0,0.0,9.0,0.0
2023-01-01 22:00:00,,37.0,0.0,974.0,619.0,0.0,0.0,9.0,0.0
2023-01-01 23:00:00,,41.0,0.0,996.0,604.0,0.0,0.0,9.0,0.0
2023-01-02 00:00:00,,35.0,0.0,991.0,606.0,0.0,0.0,9.0,0.0
2023-01-02 01:00:00,,39.0,0.0,972.0,595.0,0.0,0.0,9.0,0.0
2023-01-02 02:00:00,,30.0,0.0,974.0,604.0,0.0,0.0,9.0,0.0
2023-01-02 03:00:00,,21.0,0.0,972.0,613.0,0.0,0.0,9.0,0.0
2023-01-02 04:00:00,,17.0,0.0,980.0,595.0,0.0,0.0,9.0,0.0
2023-01-02 05:00:00,,3.0,0.0,993.0,628.0,0.0,0.0,9.0,0.0
2023-01-02 06:00:00,,0.0,0.0,1017.0,712.0,0.0,0.0,7.0,0.0
2023-01-02 07:00:00,,0.0,0.0,1031.0,736.0,0.0,0.0,6.0,0.0
2023-01-02 08:00:00,,4.0,0.0,1018.0,722.0,0.0,0.0,7.0,0.0
2023-01-02 09:00:00,,6.0,0.0,1043.0,727.0,0.0,0.0,7.0,0.0
