epoch,train_loss,val_loss,train_r2,val_r2,train_mae,val_mae
1,0.4234689197757027,0.665969717502594,-0.014131646428306105,-0.7345025096507638,799.70325,922.9749
2,0.3862322904846885,0.6484572172164917,0.09304554365709475,-0.6524758563854938,756.05194,902.0083
3,0.37629766951907767,0.6371507227420807,0.119112469975137,-0.6322497860584413,743.51666,898.32635
4,0.37106712623076005,0.6427202105522156,0.13243399294382768,-0.6486723975169919,736.62213,906.61487
5,0.36863929412581703,0.662367182970047,0.13839102394876063,-0.7420447012198788,733.51746,920.42267
6,0.36789572645317425,0.6527186930179596,0.14006352619177695,-0.7047593234144187,733.1413,920.07684
7,0.36630136262286794,0.6602532923221588,0.1441841484255449,-0.6939272563363521,730.5099,912.06396
8,0.3644814748655666,0.6474804818630219,0.14815050539131963,-0.666810715512302,728.46594,905.4954
9,0.36488150304014033,0.6534342169761658,0.14692023385287806,-0.6921067100285803,728.9387,905.5254
10,0.36121425330638884,0.6540135443210602,0.15866054871747962,-0.6832645758800104,724.23004,906.409
11,0.35466990525072273,0.6455086231231689,0.17473354548972225,-0.6742148946417609,716.06995,904.0119
12,0.35131773704832253,0.6786925494670868,0.18252229192994537,-0.755341603840994,711.1607,945.30725
13,0.3483668885447762,0.6537046194076538,0.1899755000007502,-0.682510477722536,707.53796,916.8553
14,0.34654173390431836,0.6560509979724884,0.19420220614189354,-0.6849847855983884,705.1725,917.3
15,0.34539018761027945,0.6427908420562745,0.19709403502694908,-0.6692201361584587,703.714,910.7868
16,0.3443645786155354,0.6682169437408447,0.20029137305909767,-0.7169787454434507,702.23175,931.9404
17,0.3395791097120805,0.6789029240608215,0.21257763342463462,-0.7514630106839213,696.2589,946.16003
18,0.33500791056589646,0.6675193727016449,0.22385490503931532,-0.7334972299749958,690.2244,935.9406
19,0.33028501109643416,0.6354538083076477,0.23593909455307666,-0.6641857667705873,684.1027,904.53284
20,0.32734527425332505,0.6466635286808013,0.2429367142671069,-0.6907388581966696,679.9792,914.5023
21,0.32356729317795146,0.6323744297027588,0.25264193595385176,-0.6623463629984877,674.704,902.4792
22,0.32125150913541967,0.6338805615901947,0.25856366150377785,-0.6620744752127585,671.5735,892.11847
23,0.31798946261405947,0.6487869203090668,0.2673015737997318,-0.7017438412977781,667.4581,906.9637
24,0.3168023721738295,0.677442216873169,0.2692007251930661,-0.7945988215139231,665.9232,945.022
25,0.31653072915293956,0.6898588895797729,0.27040160237740873,-0.8329028208171497,666.4722,966.9391
26,0.31462210525165907,0.6650562644004822,0.27552481609303103,-0.7490791703621487,663.9607,930.77374
27,0.313123615492474,0.6726846516132354,0.2791362399941856,-0.7747363939196754,661.2236,936.06836
28,0.3156676717779853,0.6542675912380218,0.27316570584048705,-0.737701877331537,665.65,919.90576
29,0.3090232919562947,0.6747425496578217,0.2899871013183438,-0.8027307110017319,656.8385,938.7617
30,0.30125163766470825,0.671564519405365,0.30961964485775695,-0.7877178385979609,646.27325,932.45624
31,0.29473498815839944,0.6856415212154389,0.3259622275411967,-0.8197809217510155,637.1125,947.6336
32,0.2913494985211979,0.6798994958400726,0.3335384576618553,-0.816895427879585,631.9989,943.9251
33,0.2906760966235941,0.6748310148715972,0.33488418162876066,-0.8013711128014979,631.4554,939.9958
34,0.29189741828224874,0.6743489444255829,0.3323613850962176,-0.8042518022397751,633.5403,936.2235
35,0.2862165922468359,0.6733929216861725,0.3463564074604508,-0.7932381614397319,625.1554,928.2619
36,0.27842784361405803,0.6700825154781341,0.3657501251952044,-0.7866236813507836,614.8929,923.5007
37,0.2735788350755518,0.6942155599594116,0.377403484889452,-0.8657249946754803,608.38904,948.20575
38,0.27006655064496127,0.6895657420158386,0.38648528814417327,-0.8375201706169253,603.40125,939.6214
39,0.2683608786626296,0.7127709925174713,0.39085634328728996,-0.9058803538076872,601.10333,963.5814
40,0.26852654652162034,0.7123992204666137,0.3905933196931051,-0.8907088554845591,601.6951,968.0415
41,0.2655008760365573,0.7155198097229004,0.39860215662280873,-0.9192569118879869,597.5734,973.363
42,0.2622368427840146,0.7317659914493561,0.40613762149547794,-0.9840606931772834,592.4369,992.3711
43,0.2595976154912602,0.7224033176898956,0.4127442597040143,-0.9544235929100184,589.0526,981.88
44,0.25693686956709083,0.7054956793785095,0.41911950194693703,-0.9244790951420612,585.44495,971.0936
45,0.2552136480808258,0.6932369828224182,0.4234938514259447,-0.8726549790707938,583.0243,953.79315
46,0.2541521042585373,0.6854550540447235,0.42615539738723285,-0.8472522740437265,581.4729,939.14386
47,0.2527824968099594,0.6750876903533936,0.42963544302872697,-0.8061214894893926,579.5748,930.4958
48,0.250566514107314,0.6774028658866882,0.43494143416924774,-0.8116233580954855,576.28534,932.8491
49,0.24939838620749386,0.682417380809784,0.43776093246667064,-0.8263476327672604,574.689,938.9
50,0.24828208197246898,0.688052898645401,0.4408154003328531,-0.8457793828348728,573.56604,945.26776
51,0.24759709415110676,0.6923029363155365,0.4424241980920282,-0.8576347708880329,572.2995,950.39685
