epoch,train_loss,val_loss,train_r2,val_r2,train_mae,val_mae
1,0.803611095385118,1.0779744327068328,-0.04282015122034089,-0.8536153404895745,809.0848,950.3527
2,0.7514300270514055,1.0362896025180817,0.07995396053696319,-0.6931716085751872,758.4632,903.1595
3,0.7338072711771185,1.0263510823249817,0.11133593291504211,-0.6765984928211441,741.0617,895.8749
4,0.7243353421037847,1.0476848602294921,0.12631061236109267,-0.7362971551377387,731.60724,916.9828
5,0.7215647957541725,1.0409218847751618,0.13060911590135443,-0.7491304554888669,728.6251,912.29706
6,0.7156906377185475,1.0961914718151093,0.14083439527908426,-0.9895659208380078,722.5962,978.7951
7,0.7128923437812111,1.0591099441051484,0.14521119275858715,-0.8211891758797638,720.19135,935.1429
8,0.7139187010851773,1.0701020956039429,0.14102403136957978,-0.8635044421272049,721.2023,949.3654
9,0.7084204662929882,1.0542343437671662,0.151360451178826,-0.7627389741602644,716.06915,918.9332
10,0.6999304164539684,1.0766824245452882,0.16891685439225673,-0.8525668992085054,706.73376,965.6232
11,0.6875580982728438,1.0574731290340424,0.18868064557547515,-0.7677631104174644,694.6718,925.91437
12,0.6798297237266194,1.0591593563556672,0.2020076795009483,-0.7908006977606741,687.3965,933.61426
13,0.6750403030352159,1.0979954421520233,0.20936941256467323,-0.9015427852047451,682.35364,960.4059
14,0.6747186920859597,1.0869474411010742,0.20853443575286396,-0.8527908607526713,682.2267,952.35803
15,0.6760072307153182,1.073949122428894,0.20710810601441354,-0.8548422349082825,682.97577,950.6387
16,0.6722117082639174,1.0591280281543731,0.21533901266633743,-0.8047939216098181,679.2284,927.2682
17,0.6646250453862277,1.0606489300727844,0.2261345418219502,-0.8265003134960585,671.8785,934.60254
18,0.6520891054110094,1.0595699310302735,0.24479537262449802,-0.8235168483911867,658.8685,933.6642
19,0.6442418531938032,1.0683418095111847,0.26006178515583733,-0.8520226046134962,650.35583,944.6509
20,0.640808862989599,1.0702363073825836,0.2660518889420631,-0.8730012240530828,647.4535,948.4299
21,0.6378818826241927,1.060395860671997,0.2707945743678399,-0.8034746674079274,644.4474,923.5752
22,0.635288081927733,1.082977294921875,0.2757668645515203,-0.8896613885621643,641.61554,953.8654
23,0.6260799944400788,1.077739942073822,0.29280288961172873,-0.886473849707273,633.1424,936.9266
24,0.6138527512550354,1.0904814839363097,0.31183969092538133,-0.9024520583462273,619.796,949.19836
25,0.6073396417227659,1.068264663219452,0.3219758816237953,-0.8635862666339152,613.16327,941.5338
26,0.6049278692765669,1.0936349391937257,0.32669389629409823,-0.939575966867787,611.10474,971.7406
27,0.602803414518183,1.0828543424606323,0.3313884024520111,-0.8791919284157312,608.7892,958.46826
28,0.5988808138804003,1.0971523761749267,0.33709155906535626,-0.9459843540111954,604.57416,974.9507
29,0.5897018573500893,1.1006219267845154,0.3507807004900453,-0.925084507094174,594.9845,966.7084
30,0.5842245643789118,1.1172942757606505,0.3581130561890694,-0.9686327481102861,589.3019,979.13934
31,0.5803406574509361,1.1097026944160462,0.36403607613974465,-0.9431590743080616,585.58887,978.2205
32,0.577991844849153,1.1073790311813354,0.3680251635112267,-0.9345553596371687,582.97925,970.2074
33,0.5756283662535927,1.1008715748786926,0.3716576557219919,-0.931884683531397,580.75134,969.7627
34,0.5734407489950006,1.0568350553512573,0.3760641963702412,-0.8055369967309474,578.49744,924.89954
35,0.5701168726791035,1.0469537377357483,0.38046650790976794,-0.7791750573433323,575.17566,915.2145
36,0.5664182706312699,1.051072907447815,0.385132139027248,-0.7857181705976284,570.9528,917.36536
37,0.5633157795125788,1.0535027027130126,0.38981140280867055,-0.7883608056645166,567.9677,917.8776
38,0.5611231993545186,1.0707404136657714,0.3925138301945718,-0.8385534459227539,565.7767,935.1279
39,0.5595854114402424,1.0627245545387267,0.39465533246698803,-0.8213899383935683,564.0221,931.9292
40,0.5572726330973885,1.060635232925415,0.3980935978324918,-0.811943833615499,561.86316,927.68176
41,0.5559295708482915,1.0613709092140198,0.3998244741618932,-0.8083872072722016,560.15936,927.7723
42,0.5551713786341927,1.064597749710083,0.4009993329960596,-0.8184146801018042,559.56036,931.39667
43,0.5538371633399617,1.0638530492782592,0.40257869496552806,-0.8145979358599451,558.222,931.068
44,0.5534853252497587,1.0683509588241578,0.40324319936832653,-0.8307415409458067,557.74927,934.2545
45,0.5526501693508842,1.063667392730713,0.4046499883024568,-0.819548192399815,556.9264,931.147
46,0.5514292895793915,1.0650901436805724,0.4055828631375058,-0.8213081920190699,555.7256,931.9118
47,0.5509450749917464,1.06291424036026,0.4068079646247572,-0.8140629700380646,555.1973,928.6085
48,0.5510045598853718,1.0641421914100646,0.40692446608864674,-0.8168083146873286,555.07043,929.56415
49,0.5500988326289437,1.0649174571037292,0.4076390972545604,-0.8182058747269385,554.21936,929.6619
50,0.5496338605880737,1.0652368068695068,0.40792094015926567,-0.820074540436695,553.72833,930.16223
51,0.5497416799718683,1.0616312623023987,0.40872113320380654,-0.8089281366527631,553.7903,927.52606
52,0.549335326389833,1.060156559944153,0.4088324442076587,-0.8065800090349912,553.5521,926.44305
53,0.5485609146681699,1.061957025527954,0.4100363089995332,-0.8104984861508105,552.66785,927.36017
54,0.54891523827206,1.0632678151130677,0.4096784019304276,-0.8134436497446442,553.0876,928.43994
55,0.5486002645709298,1.0647056937217712,0.4099508837024131,-0.8187947409707815,552.75415,929.88885
