epoch,train_loss,val_loss,train_r2,val_r2,train_mae,val_mae
1,1.191603750652737,7.4880666673183445,-0.1919858490931688,-3.8188107112584353,869.53955,1689.1465
2,0.9787780033217536,6.711711227893829,0.021321119899978737,-2.9260828845370517,783.2533,1520.4227
3,0.8936495542526245,6.1305256396532055,0.10652007769640315,-2.246504332566661,744.26105,1380.6123
4,0.8404954618877835,5.693570825457573,0.15964122854051535,-1.728322371578446,719.167,1265.7627
5,0.8024096118079291,5.36651813685894,0.19765112330107018,-1.3378128481414537,700.87585,1173.1155
6,0.7731344964769151,5.1232004404068,0.22683617281084048,-1.0478679622188793,686.6456,1099.7867
7,0.7495300908883412,4.944318303465844,0.25034810182938216,-0.835992488018562,675.09595,1043.3314
8,0.7297908233271705,4.815021127462387,0.26999772386387566,-0.6835879492676664,665.3639,1001.5005
9,0.7128112978405423,4.723374781012535,0.2868929017070077,-0.5755843456434449,656.8973,971.4487
10,0.6978913499249353,4.659654042124748,0.3017349416836201,-0.5000527379853545,649.3762,950.38196
11,0.6845730993482801,4.616058322787285,0.31498209506138675,-0.4477847783532444,642.58154,935.9222
12,0.6725458443164826,4.586534425616264,0.3269450834394128,-0.41185304592048927,636.36584,926.07874
13,0.6615896801153819,4.566561901569367,0.3378435734747368,-0.38717739584863636,630.63617,919.46075
14,0.6515421821011438,4.552895542979241,0.34783964595167594,-0.3701242626741407,625.32996,915.00684
15,0.6422785315248701,4.5432877242565155,0.3570576850253643,-0.3581570956265595,620.3932,911.9928
16,0.6336995555294884,4.536233216524124,0.36559638928471794,-0.3495467757106062,615.7836,909.9017
17,0.6257243904802534,4.530755862593651,0.373536162056495,-0.3431412984752603,611.4586,908.37354
18,0.6182857751846313,4.526241031289101,0.3809438042976347,-0.3381897162444386,607.3822,907.23114
19,0.6113269189993541,4.522313162684441,0.38787567053268424,-0.3342119579416832,603.5394,906.35046
20,0.6047993123531341,4.51874965429306,0.3943798391783294,-0.3309057072246345,599.91534,905.6375
21,0.5972386055522495,4.518134036660195,0.401953189423396,-0.32908812602792753,595.5932,905.2415
22,0.5943052914407518,4.517288562655449,0.4048729372588623,-0.3277072466426401,593.9791,904.9614
23,0.5914347257879046,4.516108363866806,0.4077329006848035,-0.32641658708410737,592.3814,904.6872
