epoch,train_loss,val_loss,train_r2,val_r2,train_mae,val_mae
1,0.9951058548909647,2.258287337091234,0.012196054945139178,-0.8435873723090932,797.94055,934.2627
2,0.9162874839924,2.142122255431281,0.09186608687221022,-0.7854810312699861,761.02277,918.49396
3,0.8528484028798563,2.011293715900845,0.15429282409602593,-0.6862733719625782,731.1927,890.80194
4,0.800510228783996,2.1165879170099893,0.20623410536169118,-0.8718733486129977,707.0423,928.19305
5,0.7639871548723292,2.0691834820641413,0.2417256344097134,-0.7362615651427462,680.1024,901.06067
6,0.7239739254668907,1.757223778300815,0.2806584442264467,-0.5628469040980013,674.10046,866.67365
7,0.7304565371186645,1.6898850335015192,0.2714580125291768,-0.4981245399626347,667.7896,855.16736
8,0.7356486403279834,1.748640047179328,0.2658590317868471,-0.530556556549291,681.84033,883.4006
9,0.7061785735465862,1.9314293993843927,0.29412288912154283,-0.7037305474360405,655.6125,874.9671
10,0.6872152625410645,1.53311202261183,0.31332998124021266,-0.39553630038819254,657.53906,849.31726
11,0.6563296676785858,1.9000144667095609,0.3438171873626278,-0.7161287788332775,635.8308,890.6779
12,0.6254483500012645,1.5021953052944608,0.3749242686412286,-0.37475048158333235,624.7801,836.94257
13,0.6390832750885574,1.799576547410753,0.36196999800344065,-0.6986052596745103,624.40466,890.7967
14,0.6365749311667902,1.4998341798782349,0.36347898822046315,-0.33038747704310706,630.3644,813.5533
15,0.6293374250332514,2.1422042581770153,0.371015857320988,-0.9689478854000122,627.4074,1033.2073
16,0.6533228534239309,1.4860274129443698,0.3462689549607537,-0.4223980357938625,636.84216,853.1058
17,0.6577265775865979,1.574631200896369,0.34125230227800085,-0.425323268869836,640.5737,852.47296
18,0.6158514315331424,1.4995122353235881,0.38345533476123134,-0.4105359939098566,617.73914,855.4346
19,0.5767154268644474,1.5432145198186238,0.4230528524184723,-0.43130454246373884,597.0906,858.85205
20,0.5730030906421167,1.6688952181074355,0.4268160393973425,-0.5475664085804129,590.42633,881.4391
21,0.6128475075518643,1.619398792584737,0.38794773939145394,-0.5017917512881027,617.6235,856.931
22,0.5897390009076507,1.5112181968159146,0.4096978282694132,-0.4029967545874017,600.8855,839.4219
23,0.578092900691209,1.5437284575568304,0.42167916844249465,-0.4600668824824914,598.4647,882.28955
24,0.5440445305020721,1.5064416262838576,0.455735242122735,-0.4318306502461925,577.6629,852.0213
25,0.5288693016325986,1.4513269596629672,0.47124692373741156,-0.3784911485925793,570.8699,857.3667
26,0.5238539306101976,1.584480795595381,0.476078006828875,-0.487345894068023,565.2188,874.91974
27,0.5155783268036666,1.3967149323887296,0.4846549680319058,-0.33166813821133456,561.407,833.5089
28,0.5158462656868829,1.629584054152171,0.4840858113369454,-0.5208267880778139,559.73157,893.3522
29,0.5120746990044912,1.4125157064861722,0.48816025727831136,-0.31924450972685964,558.5526,830.4191
30,0.512755744435169,1.6668395201365154,0.48693909632584703,-0.6176428435248568,559.9772,888.47266
31,0.4999792802113074,1.4464595781432257,0.5003256139575063,-0.31633058966281924,551.70886,834.7793
32,0.49990029357097765,1.5798640317387052,0.49979285842572996,-0.5133433423045219,551.77527,875.784
33,0.4912662798607791,1.4321893784734938,0.5088813538666865,-0.3686893291075566,546.8952,837.8237
34,0.4910757265709065,1.5229805906613667,0.5086871104945645,-0.4039318815295167,546.3428,858.8766
35,0.4727147806573797,1.4607871969540913,0.5270792914035095,-0.3934113698253379,536.54395,840.37756
36,0.4641619755162133,1.5220666527748108,0.5357635338458431,-0.419645076714639,530.44006,862.34766
37,0.4602211802094071,1.476349691549937,0.5395370858074543,-0.39593337558660485,527.6965,841.4207
38,0.4563303965109366,1.5105710294511583,0.5435625863407382,-0.41722753859972245,525.4663,857.9507
39,0.45242574093518434,1.4975473350948758,0.5473191445390467,-0.4075886857736494,522.8509,848.96173
40,0.448680830222589,1.4998503459824457,0.551097243273109,-0.4158983791969317,520.6199,851.8006
41,0.44505722710379847,1.512084378136529,0.5547471859051022,-0.42162612010658906,517.99756,856.16846
42,0.4424153202109867,1.5067278411653307,0.5573370897969518,-0.4223800440788644,516.29333,852.8908
43,0.4403631455368466,1.5144604841868083,0.5593989068874985,-0.4246527201167756,515.0313,857.2498
44,0.4381930386578595,1.5170477959844801,0.5615325700276383,-0.4358266159276307,513.6145,856.9017
45,0.43683884430814673,1.5202781425582037,0.562897842897391,-0.4295032781692146,512.6701,858.9398
46,0.4343017599097005,1.5213723911179438,0.5654085165841879,-0.436036852424206,511.2658,858.2716
47,0.43296408984396195,1.5248975687556796,0.566747853920549,-0.43810253052280534,510.54834,859.7743
48,0.4325146504022457,1.5247715248001947,0.5672078547896763,-0.4384868373787909,510.1001,859.41174
49,0.4305925131947906,1.5254404015011258,0.5690806052505735,-0.4387482518705202,509.00693,860.74725
50,0.43013321746278693,1.5284473564889696,0.5695309093372365,-0.4420576904790098,508.73843,860.6664
51,0.4290263283031958,1.5343524747424655,0.5706782925581909,-0.447120715694487,508.13177,862.016
52,0.42777665787272984,1.5357175005806818,0.5719206257740742,-0.4487933688504513,507.3024,862.4918
53,0.42678821252452004,1.5369787017504375,0.5728787506418206,-0.45057797861953713,506.66577,863.2285
54,0.42649303652622084,1.5393789741728041,0.5731457045642647,-0.4526182093945977,506.71152,863.8626
55,0.42615153336966477,1.5390342738893297,0.5734638034705019,-0.4523174561946046,506.27213,863.812
56,0.4255348758565055,1.540061679151323,0.5741182474871102,-0.45336952059252467,505.87485,864.33563
57,0.4248068073281535,1.5400140815311008,0.5748722092819024,-0.4527332185489624,505.55908,864.2443
58,0.4245029930715208,1.5413568284776475,0.5750671349989726,-0.45428318208406326,505.18024,864.5256
59,0.42435930448549763,1.542385756969452,0.5752865099923415,-0.4556323316859503,504.97012,865.09796
60,0.42354901245346777,1.5416716602113512,0.5760988353396774,-0.45486422334326504,504.5056,865.03455
61,0.42319802553565417,1.5426307320594788,0.576433896018753,-0.45587654919941556,504.53217,865.3817
62,0.4234748802803181,1.543649137020111,0.5761977638620496,-0.45706220558689015,504.53897,865.7705
63,0.42258533449084673,1.5445239808824327,0.5770569451323344,-0.45795118409158275,503.9795,865.8455
64,0.4224609958904761,1.5447622670067682,0.5771884942865702,-0.45820979867081535,504.07333,865.81757
65,0.4223119699292713,1.5445189939604864,0.5772759190501658,-0.4580843332988975,503.54257,865.8688
